date,time,latitude,longitude
2024-12-14,13:41:54,19.0620930,72.9010100
2024-12-14,13:41:55,19.0620960,72.9010090
2024-12-14,13:41:56,19.0621010,72.9010060
2024-12-14,13:41:57,19.0620950,72.9010110
2024-12-14,13:41:58,19.0620980,72.9010080
2024-12-14,13:41:59,19.0621000,72.9010080
2024-12-14,13:42:00,19.0621020,72.9010080
2024-12-14,13:42:01,19.0621040,72.9010080
2024-12-14,13:42:02,19.0621060,72.9010070
2024-12-14,13:42:03,19.0620970,72.9010030
2024-12-14,13:42:04,19.0620980,72.9010020
2024-12-14,13:42:10,19.0620600,72.9010530
2024-12-14,13:42:11,19.0620510,72.9010690
2024-12-14,13:42:12,19.0620390,72.9010960
2024-12-14,13:42:13,19.0620350,72.9011050
2024-12-14,13:42:15,19.0620190,72.9011460
2024-12-14,13:42:16,19.0620120,72.9011600
2024-12-14,13:42:17,19.0619910,72.9012010
2024-12-14,13:42:18,19.0619560,72.9012760
2024-12-14,13:42:19,19.0619390,72.9013090
2024-12-14,13:42:20,19.0619200,72.9013420
2024-12-14,13:42:21,19.0619020,72.9013770
2024-12-14,13:42:22,19.0618870,72.9014140
2024-12-14,13:42:23,19.0618620,72.9014520
2024-12-14,13:42:24,19.0618450,72.9014900
2024-12-14,13:42:25,19.0618260,72.9015290
2024-12-14,13:42:26,19.0618070,72.9015670
2024-12-14,13:42:27,19.0617900,72.9016010
2024-12-14,13:42:28,19.0617760,72.9016440
2024-12-14,13:42:29,19.0617640,72.9016850
2024-12-14,13:42:30,19.0617520,72.9017170
2024-12-14,13:42:31,19.0617450,72.9017310
2024-12-14,13:42:32,19.0617410,72.9017410
2024-12-14,13:42:33,19.0617410,72.9017450
2024-12-14,13:42:34,19.0617420,72.9017490
2024-12-14,13:42:35,19.0617380,72.9017570
2024-12-14,13:42:36,19.0617350,72.9017660
2024-12-14,13:42:37,19.0617310,72.9017740
2024-12-14,13:42:38,19.0617280,72.9017830
2024-12-14,13:42:39,19.0617240,72.9017910
2024-12-14,13:42:40,19.0617100,72.9018190
2024-12-14,13:42:41,19.0616940,72.9018520
2024-12-14,13:42:42,19.0616780,72.9018900
2024-12-14,13:42:43,19.0616590,72.9019340
2024-12-14,13:42:44,19.0616410,72.9019710
2024-12-14,13:42:45,19.0616220,72.9020120
2024-12-14,13:42:46,19.0615970,72.9020540
2024-12-14,13:42:47,19.0615740,72.9021020
2024-12-14,13:42:48,19.0615540,72.9021530
2024-12-14,13:42:49,19.0615330,72.9022010
2024-12-14,13:42:50,19.0615140,72.9022480
2024-12-14,13:42:51,19.0614920,72.9022960
2024-12-14,13:42:52,19.0614690,72.9023480
2024-12-14,13:42:53,19.0614490,72.9024040
2024-12-14,13:42:54,19.0614320,72.9024550
2024-12-14,13:42:55,19.0614210,72.9024870
2024-12-14,13:42:56,19.0614090,72.9025150
2024-12-14,13:42:57,19.0613940,72.9025500
2024-12-14,13:42:58,19.0613880,72.9025610
2024-12-14,13:42:59,19.0613700,72.9025880
2024-12-14,13:43:00,19.0613640,72.9025990
2024-12-14,13:43:01,19.0613500,72.9026260
2024-12-14,13:43:02,19.0613340,72.9026640
2024-12-14,13:43:03,19.0613240,72.9026790
2024-12-14,13:43:04,19.0613120,72.9027110
2024-12-14,13:43:05,19.0613030,72.9027480
2024-12-14,13:43:06,19.0612930,72.9027790
2024-12-14,13:43:07,19.0612800,72.9028190
2024-12-14,13:43:08,19.0612590,72.9028560
2024-12-14,13:43:09,19.0612350,72.9028900
2024-12-14,13:43:10,19.0612140,72.9029350
2024-12-14,13:43:11,19.0611910,72.9029800
2024-12-14,13:43:12,19.0611730,72.9030250
2024-12-14,13:43:13,19.0611530,72.9030680
2024-12-14,13:43:14,19.0611360,72.9031060
2024-12-14,13:43:15,19.0611160,72.9031480
2024-12-14,13:43:16,19.0611000,72.9031880
2024-12-14,13:43:17,19.0610800,72.9032290
2024-12-14,13:43:18,19.0610600,72.9032700
2024-12-14,13:43:19,19.0610400,72.9033080
2024-12-14,13:43:20,19.0610250,72.9033400
2024-12-14,13:43:21,19.0610060,72.9033720
2024-12-14,13:43:22,19.0609990,72.9033830
2024-12-14,13:43:23,19.0609860,72.9034130
2024-12-14,13:43:24,19.0609680,72.9034400
2024-12-14,13:43:25,19.0609540,72.9034820
2024-12-14,13:43:26,19.0609360,72.9035220
2024-12-14,13:43:27,19.0609170,72.9035610
2024-12-14,13:43:28,19.0609000,72.9036010
2024-12-14,13:43:29,19.0608820,72.9036430
2024-12-14,13:43:30,19.0608610,72.9036870
2024-12-14,13:43:31,19.0608430,72.9037270
2024-12-14,13:43:32,19.0608240,72.9037760
2024-12-14,13:43:33,19.0608040,72.9038220
2024-12-14,13:43:34,19.0607860,72.9038720
2024-12-14,13:43:35,19.0607630,72.9039210
2024-12-14,13:43:36,19.0607470,72.9039650
2024-12-14,13:43:37,19.0607270,72.9040090
2024-12-14,13:43:38,19.0607000,72.9040570
